Recepcion;Factura
RA-5379;418942
RA-5123;424879
RA-4218;757103
RA-7007;437
RA-7073;817
RA-7074;822
RA-5777;4556229
RA-3849;77328
RA-4140;77390
RA-7044;1113444
RA-4942;99750
RA-3983;264244
RA-3976;264247
RA-4297;264533
RA-4298;264545
RA-5109;3231197
RA-4829;1817010
RA-4602;1340700
RA-4116;1013708
RA-4116;1014160
RA-4116;1014162
RA-3463;456275
RA-3572;456276
RA-3581;456277
RA-3894;456278
RA-3876;456279
RA-3992;456280
RA-4014;456281
RA-4143;457164
RA-4262;457166
RA-4398;457555
RA-3540;451649
RA-3856;451772
RA-4113;452276
RA-3892;10309
RA-1612;807211
RA-6768;807549
RA-7011;1992
RA-4638;230110
RA-4249;451959
