Recepcion;Factura
RA-2688;1110611
RA-2878;1111504
RA-2895;1111555
RA-2928;1111557
RA-2934;1111561
RA-2963;1111575
RA-2964;1111587
RA-2945;1111590
RA-2269;1111695
RA-2266;1111702
RA-2942;1111741
RA-3065;1112250
RA-3133;1112588
RA-3130;1112589
RA-3128;1112591
RA-3124;1112593
RA-3136;1112895
RA-2814;1112920
RA-3384;1113128
RA-1655;1113167
RA-1664;1113169
RA-1664;1113235
RA-1655;1113244
RA-3314;1113268
RA-3394;1113679
RA-3373;1113822
RA-2268;11174
RA-2267;11175
RA-2870;11280
RA-3121;11332
RA-3282;11333
RA-3383;11341
RA-1623;30485
RA-1776;5979
RA-3490;6024
RA-2763;18562
RA-1042;227653
RA-1561;227705
RA-2001;227706
RA-1997;228044
RA-1536;9906
RA-1683;9922
RA-2005;9952
RA-2276;9967
RA-2754;10038
RA-3123;10077
RA-3183;10093
RA-3371;10110
RA-2306;72427
RA-4281;1452668
RA-2234;17423
RA-1004;76189
RA-2020;76612
RA-2225;76697
RA-2602;76960
RA-2850;77015
RA-3208;77023
RA-3203;77025
RA-2365;9406
RA-2365;9407
RA-3089;9481
RA-3120;9487
RA-3413;98865
RA-1530;36262
RA-1011;36391
RA-1734;36417
RA-1154;36703
RA-2937;36774
RA-3294;36846
RA-3274;36847
RA-1515;7830
RA-1526;7831
RA-1632;7838
RA-2008;7891
RA-2254;7930
RA-2253;7931
RA-2274;7932
RA-2252;7940
RA-2749;7967
RA-3331;8024
RA-3004;263522
RA-3330;263726
RA-2137;11394
RA-1465;7030
RA-1687;31221
RA-3643;31590
RA-1995;14584
RA-1496;3196285
RA-1501;3196286
RA-1495;3196309
RA-1490;3196317
RA-1498;3196415
RA-1752;3197081
RA-1753;3197082
RA-1779;3197253
RA-1681;3197255
RA-1679;3197252
RA-1680;3197254
RA-1787;3197259
RA-1682;3197258
RA-1777;3197260
RA-1780;3197262
RA-1778;3197261
RA-2031;3197811
RA-2025;3197867
RA-2295;3198651
RA-2296;3198652
RA-2294;3198663
RA-2364;3198922
RA-2355;3198928
RA-2358;3198929
RA-2891;3212482
RA-2893;3212481
RA-2924;3212678
RA-2951;3212704
RA-2952;3212706
RA-3073;3213410
RA-3132;3213420
RA-3313;3214339
RA-3389;3214352
RA-2262;3215328
RA-1963;3215332
RA-1958;3215334
RA-1701;1217627
RA-1867;1217785
RA-2987;81465
RA-3410;19536
RA-3182;1010594
RA-1764;86156
RA-2695;86513
RA-2874;55221
RA-2217;22258
RA-2454;264
RA-1528;3168
RA-1548;35197
RA-1665;35633
RA-1677;35634
RA-1660;35632
RA-2183;35692
RA-1660;35693
RA-2265;35726
RA-2357;35777
RA-2369;35778
RA-1665;35993
RA-2900;36050
RA-2929;36051
RA-2935;36052
RA-3126;36315
RA-3386;36425
RA-1538;217487
RA-2022;217896
RA-2896;219056
RA-2692;219340
RA-1876;581315
RA-3973;94520
RA-1447;2367
RA-1447;2368
RA-1732;2392
RA-2281;2422
RA-2013;23299
RA-2702;23300
RA-3375;23301
RA-3375;23302
RA-3381;23303
RA-1615;454308
RA-1551;454511
RA-1118;454806
RA-1007;454811
RA-1549;454816
RA-1144;454817
RA-2752;455166
RA-4091;3577881
RA-1147;449978
RA-2404;451004
RA-2111;2290608
RA-2113;2290609
RA-2114;2290610
RA-2218;2290612
RA-1985;387
RA-2967;23953
RA-2012;284552
RA-1435;285085
RA-1463;52390
RA-990;10072
RA-990;10073
RA-2445;10187
RA-1673;180570
RA-1674;180571
RA-1537;180779
RA-2704;180979
RA-2196;180978
RA-2939;181378
RA-2938;181379
RA-3287;181380
RA-2056;11648
RA-1514;45633
RA-1503;45690
RA-1964;45758
RA-1959;45864
RA-2953;45942
RA-3106;45996
RA-3119;46019
RA-3329;46106
RA-2286;47828
RA-2180;47833
RA-2345;47831
RA-2285;47834
RA-2179;47832
RA-3181;47835
RA-2346;47889
RA-2362;47890
RA-2927;47892
