Recepcion;Factura
RA-5422;62340
RA-6202;13069
RA-6589;13126
RA-3827;603037
RA-5555;85605
RA-6363;85895
RA-4980;1242
RA-4012;244968
RA-3495;245025
RA-3495;245026
RA-4332;245042
RA-6287;247283
RA-3420;1992
RA-3419;48783
RA-4011;49244
RA-4019;49245
RA-4098;49246
RA-4328;49455
RA-4330;49456
RA-4362;49478
RA-4363;49479
RA-4360;49480
RA-4355;49481
RA-4354;49482
RA-4751;49738
RA-3511;49836
RA-5506;50475
RA-5750;50476
RA-5754;50477
RA-5758;50478
RA-5857;50831
RA-5856;50832
RA-6304;51092
RA-6314;51093
RA-6303;51094
RA-6302;51095
RA-6286;51096
RA-2936;957642
RA-2936;957832
RA-3302;957885
RA-6675;961209
RA-4451;961424
RA-4468;961425
RA-5087;961721
RA-4866;961766
RA-5322;961767
RA-5858;961976
RA-5466;404457
RA-6447;420554
RA-3177;37438
RA-3166;37439
RA-6794;132094
RA-5149;92973
RA-4377;92974
RA-4646;92975
RA-4644;92976
RA-4346;92977
RA-4339;92978
RA-4344;92979
RA-4336;92980
RA-4244;92981
RA-5067;92982
RA-5292;93151
RA-5295;93152
RA-5290;93153
RA-5479;93154
RA-5480;93155
RA-6264;93478
RA-6267;93480
RA-3429;422883
RA-3786;423037
RA-3972;423632
RA-4293;423922
RA-4104;424050
RA-4261;424082
RA-5045;424885
RA-5004;424888
RA-5381;425440
RA-4445;425618
RA-4868;426007
RA-4861;426008
RA-4860;426010
RA-5795;426081
RA-6334;426982
RA-6678;427141
RA-6816;79756
RA-1769;42325
RA-2194;42326
RA-2960;42548
RA-4109;42549
RA-4304;260144
RA-3514;1114603
RA-3518;1114608
RA-2954;1114672
RA-3839;1115521
RA-3818;1115705
RA-4146;1117184
RA-4245;1117781
RA-4366;1117832
RA-4448;1118423
RA-4461;1118427
RA-4345;1119002
RA-4333;1119029
RA-4338;1119033
RA-4341;1119040
RA-4342;1119046
RA-4650;1119590
RA-4652;1119597
RA-4653;1119606
RA-4661;1119640
RA-4659;1119798
RA-4463;1119800
RA-4854;1120633
RA-4798;1120636
RA-4645;1120641
RA-4643;1120642
RA-4636;1121002
RA-4873;1121023
RA-4878;1121040
RA-4880;1121049
RA-5072;1121089
RA-5073;1121094
RA-5074;1121096
RA-5075;1121110
RA-4977;1121121
RA-4869;1121198
RA-5081;1121423
RA-4855;1121856
RA-4791;1121864
RA-5063;1122099
RA-5305;1122318
RA-5308;1122322
RA-5312;1122329
RA-5313;1122336
RA-5320;1122344
RA-4877;1122480
RA-4863;1122756
RA-5294;1122836
RA-5293;1122841
RA-4259;1122844
RA-5289;1122846
RA-5287;1122847
RA-4246;1123191
RA-5504;1123198
RA-4641;1123202
RA-5286;1123340
RA-5291;1123397
RA-5285;1123856
RA-6159;1126252
RA-6315;1126312
RA-6602;1126627
RA-5749;1126688
RA-5749;1126708
RA-6715;1126721
RA-6313;1126722
RA-6716;1126733
RA-6795;31995
RA-4321;11467
RA-5303;11556
RA-5751;11610
RA-3981;18687
RA-4723;18743
RA-2556;229094
RA-2562;229095
RA-2566;229096
RA-2687;229097
RA-5335;230008
RA-3819;230109
RA-4874;230110
RA-3837;10140
RA-4357;10174
RA-4539;10179
RA-6270;10301
RA-6281;10307
RA-6893;22486
RA-4686;189985
RA-6588;10980
RA-6685;12273708
RA-3420;819303
RA-4038;77375
RA-4379;77552
RA-4609;77656
RA-5037;77679
RA-5055;77680
RA-5424;77809
RA-6599;78235
RA-6603;78239
RA-6598;78240
RA-4770;9596
RA-4858;9597
RA-5065;9600
RA-5299;9607
RA-6645;693169
RA-6661;693170
RA-6140;1128431
RA-4625;8030
RA-6336;71953
RA-6690;72011
RA-5026;99749
RA-6910;99834
RA-5176;99893
RA-5435;100018
RA-5434;100019
RA-6679;1445604
RA-4656;71758
RA-4780;71759
RA-5989;72208
RA-1961;36932
RA-1962;36935
RA-2862;36936
RA-4453;37222
RA-5323;37441
RA-4552;37503
RA-5296;37506
RA-5978;37818
RA-5979;37819
RA-6166;37820
RA-4324;8136
RA-4544;8137
RA-5071;8195
RA-5300;8252
RA-5309;8253
RA-5860;8287
RA-6274;8361
RA-6694;266097
RA-5121;11457
RA-6333;89876
OC-MONTT 4455;90064
RA-2726;2389
RA-5518;2403
RA-4277;841804
RA-5725;842804
RA-6693;7220
RA-6628;14909
RA-3574;14753
RA-4642;14823
RA-5282;14882
RA-5284;14883
RA-4022;3216441
RA-4031;3216445
RA-4364;3217133
RA-4367;3217134
RA-4359;3217143
RA-4464;3217583
RA-4750;3230342
RA-4864;3230632
RA-4927;3230742
RA-4924;3230744
RA-4921;3230745
RA-5326;3232100
RA-5325;3232103
RA-5579;3233036
RA-5589;3233062
RA-6590;3236283
RA-3668;1225482
RA-5465;1231464
RA-6597;369914
RA-5461;1018305
RA-3182;1018535
RA-4030;87095
RA-4224;87341
RA-4351;87383
RA-4466;87424
RA-4655;87544
RA-5853;88064
RA-6301;88349
RA-3646;22362
RA-3993;22363
RA-4469;3263
RA-2712;36904
RA-4021;37032
RA-4331;37157
RA-4440;37161
RA-4439;37162
RA-4436;37163
RA-4434;37164
RA-4684;37457
RA-4879;37523
RA-5079;37620
RA-5316;37660
RA-5319;37661
RA-5319;37677
RA-5316;37679
RA-5838;37925
RA-3994;219918
RA-5223;221179
RA-6356;221986
RA-6364;222011
RA-6444;19345
RA-4239;480570
RA-5937;95252
RA-4651;2497
RA-4660;2498
RA-4322;23455
RA-3579;456274
RA-3324;457140
RA-4017;457141
RA-4010;457142
RA-4265;457165
RA-4666;457746
RA-4667;457747
RA-4794;458081
RA-5038;458084
RA-5135;458085
RA-3838;458347
RA-5677;458783
RA-5464;458784
RA-6455;28871
RA-3753;451900
RA-3124;451959
RA-5608;453622
RA-5712;453779
RA-5877;2295615
RA-5994;2295616
RA-5485;2295617
RA-5553;2295618
RA-5481;2295619
RA-5599;2295620
RA-5633;2295621
RA-5875;2295622
RA-6067;2295625
RA-6067;2295628
RA-6591;850396
RA-6585;14169
RA-5501;768
RA-5499;769
RA-5501;771
