Recepcion;Orden de compra;Folio;Tipo DTE SII Acepta;Fecha Emisión;Fecha de Vencimiento;Periodo;Url;Estado del Documento en Compras;Monto Neto;Monto IVA;Monto Total
RA-5853;OC-MONTT4179;88064;1;22/06/2026;22/07/2026;143;https://windte2606.acepta.com/v01/55328EDF857180A7CA601F42F447FE710C6D0A54;1;398000;75620;473620
RA-6301;OC-MONTT4373;88349;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/0E2D8EDF1794CAB000C3829639EDEEC199A881DB;1;398000;75620;473620
RA-5838;OC-MONTT4170;37925;1;22/06/2026;22/07/2026;143;https://windte2606.acepta.com/v01/BCB9D7E7873F7BF1FC7C6CB3810B16FF8406B669;1;59000;11210;70210
RA-5127;OC-MONTT3627;221123;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/AA3B3A0C40E0B82A3FFD64F61D6EB3D26D3ABBFC;1;95200;18088;113288
RA-5223;OC-MONTT3720;221179;1;18/06/2026;18/07/2026;143;https://windte2606.acepta.com/v01/EEA0909CDEC83843DFDD22E8330FE27B5DC83062;1;107000;20330;127330
RA-5399;OC-MONTT3545;221232;1;18/06/2026;18/07/2026;143;https://windte2606.acepta.com/v01/63BB125183B59063AEB0C656D3EC7192ED2D7855;1;338000;64220;402220
RA-6356;OC-MONTT4325;221986;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/E3F2C45A14FE95760A44D5F50B1B9D21A6AA64CA;1;715100;135869;850969
RA-6428;OC-MONTT3627;222008;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/751A72FCB4336771EAE7CECC2D1B206DB986FBF0;1;11930;2267;14197
RA-6429;OC-MONTT4018;222010;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/277669957E3B37072705AFF104065CCAA5C2EB98;1;5965;1133;7098
RA-6364;OC-MONTT4422;222011;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/D31F1F6E51B43EF3369C259744AC0FC0D2FEA6F7;1;401400;76266;477666
RA-6366;OC-MONTT4308;1259852;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/33F0950403C9C70FCC69C7337C44216D303A9E12;1;3105395;590025;3695420
RA-6352;OC-MONTT4400;1259970;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/24B0B4F1AAAFDDD89894B04F32E1EB4B5F2DEF05;1;1000164;190031;1190195
RA-6470;OC-MONTT4393;578243;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/00807316BA9457D624E04B88D982F00272528967;1;27500;5225;32725
RA-5905;OC-MONTT3685;578298;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/16C6800ED731F460180E19D125B91AE7F4F375F7;1;55000;10450;65450
RA-5937;OC-MONTT4042;95252;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/E8CC36A84F6736FBB55A0EC5FDE42D1F7C7D2BD2;1;200000;38000;238000
RA-4794;OC-MONTT3463;458081;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/0B0AFA8B74AF6FBC6BABA9D8CC1186DE06E0825D;1;750311;142559;892870
RA-4925;OC-MONTT3526;458082;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/A5E8FDB1E9FC0F98F22CE2069FB26C67E0547A5B;1;1300000;247000;1547000
RA-4961;OC-MONTT3526;458083;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/B5AEDBFFC6341ACC3701BAEF0AEE1781663D26F1;1;1191735;226430;1418165
RA-5135;OC-MONTT3700;458085;1;17/06/2026;17/07/2026;143;https://windte2606.acepta.com/v01/B75FFACB02B4622C0CF6D4024F9FA3C6E7781D9E;1;2740000;520600;3260600
RA-3838;OC-MONTT2900;458347;1;22/06/2026;22/07/2026;143;https://windte2606.acepta.com/v01/7FCA4BF23095E255A10F80EA975B6B75FE7BCF21;1;918320;174481;1092801
RA-6042;OC-MONTT4132;458781;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/4D8B41A16A095D48A70AB80223949FC6ED1BF27D;1;2020000;383800;2403800
RA-5677;OC-MONTT3868;458783;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/908C1ADE3B50382029172493AFBF54A6FD6A2142;1;1430000;271700;1701700
RA-5464;OC-MONTT3652;458784;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/7985B250715C9B8765608ADB930853E7B99643C4;1;1605250;304998;1910248
RA-5463;OC-MONTT3156;458786;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/60E7BB71BCF21E5D0851EA1CF0477C91FB4BC539;1;2274120;432083;2706203
RA-6455;OC-MONTT4389;28871;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/047800CDD5FD3CA2907353B4B1AADDC8F124F472;1;420000;79800;499800
RA-6630;OC-MONTT4292;3713958;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/479C24BAA85AABDDC66F4F821BE3CEA5BA6B5586;1;263435;50053;313488
RA-6669;OC-MONTT4334;3713959;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/CAC1A51E3E247E9B241FD43AC289D167E454ACF2;1;559250;106258;665508
RA-5143;OC-MONTT3479;452986;1;16/06/2026;16/07/2026;143;https://windte2606.acepta.com/v01/FC9A6EE4DA526733F18386C8D6C7A4E90D6C7F97;1;110000;20900;130900
RA-5896;OC-MONTT4045;453541;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/D06F64DA50AF83F9639F7F5FBC698F1183F1F9CE;1;768080;145935;914015
RA-5136;OC-MONTT3479;453574;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/1258001465062F5297ECC73C83815148EFCA4E4C;1;247000;46930;293930
RA-5608;OC-MONTT3866;453622;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/8F536F30C2F1F10542B0641684DB0D2EF8CA6477;1;780000;148200;928200
RA-5712;OC-MONTT3888;453779;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/819C87525A2BE35F0C1AC7C93707F86CE7C9CD8D;1;164098;31179;195277
RA-5938;OC-MONTT4045;453784;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/1DF35827BEEB777E2587A42FE8BA5ABD71D8B303;1;220000;41800;261800
RA-5877;OC-MONTT4218;2295615;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/C15497DB8370AD55BD5DAEF77B688281EDC7D5A6;1;97572;18539;116111
RA-5994;OC-MONTT4238;2295616;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/965D0A680453DC2E321E4AE0F0981ADEE9DE08FD;1;195144;37077;232221
RA-5485;OC-MONTT3928;2295617;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/A8A7C892D4609753E1293ED592A75F2D1AD7CA17;1;195144;37077;232221
RA-5481;OC-MONTT3980;2295619;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/04C9F0B46D3777DE4AA0AC0C743568E304DF8BBC;1;97572;18539;116111
RA-5599;OC-MONTT4085;2295620;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/EB17059DA78FEE0C89DBC70CBB306A1FF62E06C4;1;97572;18539;116111
RA-5633;OC-MONTT4109;2295621;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/2F484E06487A91B36D605B79FA857C501F636111;1;97572;18539;116111
RA-5875;OC-MONTT4216;2295622;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/53CB3EE6A105EDE94908CE253FB7A84549203146;1;97572;18539;116111
RA-6067;OC-MONTT4309;2295625;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/9C1664EA705A2FEDACF126523E38CFE9733ABE7C;1;97572;18539;116111
RA-6067;OC-MONTT4309;2295628;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/429E5546315DB89D99142402A0B7C73768B3D429;1;98091;18637;116728
RA-6591;OC-MONTT4425;850396;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/BC8F0B42D42898B36772A7B42A0595EC447D30B3;1;1875420;356330;2231750
RA-5501;OC-MONTT3990;768;2;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/C494BCE248D739C0B15F0A1B83ACBACA8A23BBB0;1;1130000;;1130000
RA-5499;OC-MONTT3988;769;2;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/BB812C1C9A79C42F5BBAAE01DC636A5DBDDCDF74;1;750000;;750000
RA-5501;OC-MONTT3990;771;2;22/06/2026;22/07/2026;143;https://windte2606.acepta.com/v01/336B0D84A3DBF81CB577BF2C5E238CCF6EDA4AB7;1;1344700;;1344700
RA-6576;OC-MONTT4490;27436;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/7F5670CC73E1FDDF79A37FD18ED60A2D7E73FCB3;1;203571;38678;242249
RA-5845;OC-MONTT3777;10419;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/518B52E3EF653271B05E25396C5E3C81AA2E023A;1;121500;23085;144585
RA-4504;OC-MONTT3008;183240;1;19/05/2026;19/05/2026;143;https://windte2606.acepta.com/v01/2EE762E7AC0F5BD0341550CF2ABC85F3FFD2CBF6;1;238044;45228;283272
RA-2856;OC-MONTT2424;183689;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/748F67916E76C5DA251926F5BA49B2CA232D4DB1;1;1860000;353400;2213400
RA-4975;OC-MONTT3601;183695;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/945B4F8AEEEC7161CF21FD9184E17CB6D3111D47;1;1700000;323000;2023000
RA-4975;OC-MONTT3601;183765;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/5D5C275949961CDD3D7B75576152865E3447419C;1;1820000;345800;2165800
RA-1670;OC-MONTT1656;183775;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/FA10F99F3272AEB441D541703693AA59621AE80D;1;900000;171000;1071000
RA-5088;OC-MONTT3754;183776;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/BAC0476F3C53D75D293256DD45E69247EB349839;1;1860000;353400;2213400
RA-6237;OC-MONTT3629;183874;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/467341A2BEE377E5B67D085842DE549BDEB774E1;1;636098;120858;756956
RA-4830;OC-MONTT3487;11976;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/73D6D99CCB9021689C918008BBB0AEA38D330D89;1;291000;55290;346290
RA-5952;OC-MONTT4029;11979;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/2DE13D10A848D537CD0AC61080DDCC81BBBFC0B4;1;1095000;208050;1303050
RA-6059;OC-MONTT4194;11981;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/1347BFE0D6B6F31B3A357C2B3618C5EA3BFF394C;1;291000;55290;346290
RA-3880;OC-MONTT2172;807913;1;18/06/2026;18/07/2026;143;https://windte2606.acepta.com/v01/79F1E8B16E1734690F97EEF30A3F00B9F3A6C941;1;5660823;1075556;6736379
RA-3877;OC-MONTT2808;807962;1;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/7FC341F3010CF780F095F600D4AC355B23FC89F3;1;2688742;510861;3199603
RA-4781;OC-MONTT3345;807963;1;19/06/2026;19/07/2026;143;https://windte2606.acepta.com/v01/6C17EBF19352AEA0458AFDE4ACF71F3FB0A31273;1;871354;165557;1036911
RA-6623;OC-MONTT4377;291648;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/85710580BCFADCD0E1EAFC7B6CC4B3095613EBD2;1;108312;20579;128891
